"Date","Price","Open","High","Low","Vol.","Change %"
"06/26/2020","42,856.3","43,431.5","43,431.5","42,424.8","367.87K","0.00%"
"06/25/2020","42,856.3","42,424.8","43,143.9","42,424.8","430.16K","-1.32%"
"06/24/2020","43,431.5","43,863.0","43,863.0","42,856.3","504.95K","1.00%"
"06/23/2020","43,000.1","42,784.4","43,503.4","42,496.8","924.77K","1.18%"
"06/22/2020","42,496.8","42,712.5","42,856.3","42,281.0","601.23K","0.00%"
"06/19/2020","42,496.8","41,777.7","42,568.7","41,777.7","537.73K","1.55%"
"06/18/2020","41,849.6","41,705.8","41,849.6","41,274.3","400.95K","-0.17%"
"06/17/2020","41,921.5","42,281.0","42,424.8","41,777.7","396.84K","-0.85%"
"06/16/2020","42,281.0","42,281.0","42,281.0","41,346.2","748.93K","2.80%"
"06/15/2020","41,130.5","42,856.3","43,000.1","40,986.7","1.11M","-3.87%"
"06/12/2020","42,784.4","40,986.7","43,143.9","40,986.7","1.71M","-1.65%"
"06/11/2020","43,503.4","46,451.6","46,739.2","43,503.4","2.67M","-6.92%"
"06/10/2020","46,739.2","47,098.8","47,170.7","46,020.2","1.08M","-0.76%"
"06/09/2020","47,098.8","47,889.7","47,961.6","46,595.4","988.32K","-0.91%"
"06/08/2020","47,530.2","46,092.1","47,602.1","46,092.1","2.94M","3.77%"
"06/05/2020","45,804.5","45,732.5","45,804.5","45,588.7","720.27K","0.00%"
"06/04/2020","45,804.5","45,876.4","46,020.2","45,588.7","1.05M","0.47%"
"06/03/2020","45,588.7","45,516.8","45,876.4","45,373.0","606.47K","0.32%"
"06/02/2020","45,444.9","46,020.2","46,020.2","45,444.9","760.31K","-1.10%"
"06/01/2020","45,948.3","45,588.7","46,235.9","45,516.8","939.96K","1.27%"
"05/29/2020","45,373.0","44,941.6","46,020.2","44,653.9","1.02M","0.64%"
"05/28/2020","45,085.4","44,941.6","45,373.0","44,725.9","1.06M","-0.48%"
"05/27/2020","45,301.1","46,379.7","46,739.2","45,301.1","1.69M","-1.87%"
"05/26/2020","46,164.0","46,307.8","46,595.4","45,948.3","1.40M","0.31%"
"05/25/2020","46,020.2","45,660.6","46,235.9","45,660.6","945.80K","1.27%"
"05/22/2020","45,444.9","45,732.5","45,804.5","45,157.3","1.07M","-1.25%"
"05/21/2020","46,020.2","45,732.5","46,020.2","45,301.1","1.84M","0.00%"
"05/20/2020","46,020.2","45,732.5","46,307.8","45,588.7","921.96K","-0.47%"
"05/19/2020","46,235.9","46,235.9","46,955.0","45,660.6","1.40M","1.26%"
"05/18/2020","45,660.6","44,438.2","46,020.2","44,222.5","1.05M","2.42%"
